"time","consumption_rate","investment_rate","profit_mass","profit_rate","profit_share","saving_rate","utilization_rate","wage_mass","wage_share"
0,0.1933333333333333,0.14,0.2,0.06666666666666667,0.2,0.14,1,0.8,0.8
0.2,0.185200039610186,0.1383047774552841,0.2062666616782153,0.06875555389273841,0.2125333233564304,0.1383047774552841,0.9705144511964101,0.7642477895181949,0.7874666766435696
0.4,0.1779438904804808,0.1369572371654183,0.2124344943582427,0.07081149811941424,0.2248689887164855,0.1369572371654183,0.9447033829376972,0.7322688885794545,0.7751310112835145
0.6,0.1715162746241983,0.135908754163009,0.2184062276342338,0.07280207587807795,0.2368124552684678,0.135908754163009,0.9222750863616218,0.7038688587273879,0.7631875447315322
0.8,0.1658686677098696,0.1351116243628258,0.2240876837050857,0.07469589456836191,0.2481753674101715,0.1351116243628258,0.9029408762180861,0.6788531925130004,0.7518246325898285
1,0.1609560075484603,0.1345209354106612,0.2293892626146238,0.07646308753820792,0.2587785252292473,0.1345209354106612,0.8864308288773648,0.657041566262741,0.7412214747707526
1.2,0.1567384014250867,0.1340957021240184,0.2342273552964345,0.07807578509881148,0.2684547105928689,0.1340957021240184,0.8725023106473155,0.6382749553508811,0.7315452894071311
1.4,0.1531817897968847,0.1337995276668905,0.2385256621387896,0.0795085540462632,0.2770513242775789,0.1337995276668905,0.8609439523913255,0.6224182902525359,0.7229486757224211
1.6,0.1502579978520552,0.1336009694437667,0.2422163962751008,0.08073879875836695,0.2844327925502015,0.1336009694437667,0.8515769018874656,0.6093605056123648,0.7155672074497985
1.8,0.14794446344961,0.1334737279422046,0.2452413526233009,0.08174711754110031,0.290482705246602,0.1334737279422046,0.8442545741754439,0.599013221552143,0.7095172947533981
2,0.1462238292971045,0.1333967342172613,0.2475528258147576,0.0825176086049192,0.2951056516295154,0.1333967342172613,0.8388616905430974,0.5913088647283398,0.7048943483704846
2.2,0.1450835188124362,0.1333541830728825,0.2491143625364344,0.08303812084547814,0.2982287250728689,0.1333541830728825,0.8353131056559561,0.5861987431195217,0.7017712749271311
2.4,0.1445153697250397,0.1333355402882781,0.2499013364214136,0.08330044547380454,0.2998026728428272,0.1333355402882781,0.8335527300399533,0.5836513936185398,0.7001973271571729
2.6,0.1445153697250396,0.133335540288278,0.2499013364214135,0.08330044547380448,0.2998026728428272,0.133335540288278,0.8335527300399529,0.5836513936185395,0.7001973271571729
2.8,0.1450835188124362,0.1333541830728825,0.2491143625364344,0.08303812084547814,0.2982287250728689,0.1333541830728825,0.8353131056559561,0.5861987431195217,0.7017712749271311
3,0.1462238292971045,0.1333967342172613,0.2475528258147577,0.08251760860491923,0.2951056516295154,0.1333967342172613,0.8388616905430974,0.5913088647283398,0.7048943483704846
3.2,0.1479444634496101,0.1334737279422046,0.245241352623301,0.08174711754110033,0.290482705246602,0.1334737279422046,0.844254574175444,0.5990132215521431,0.7095172947533981
