"time","H_stock","der(H_stock)","X_center","X_continuous_level","X_cycle_time","X_phase","X_step_index","X_step_progress","X_triangle","X_within_step","consumption_rate","hoard_propensity","hoarding_flow","investment_rate","profit_mass","profit_rate","profit_share","saving_rate","utilization_rate","wage_mass","wage_share"
0,0,0.006633548569064339,2,0,300,0,0,4.539786870244589e-05,0,0,0.1225754819299804,0.1488850336233179,0.006633548569064339,0.100198708585614,0.1336645143093566,0.04455483810311887,0.2,0.100198708585614,0.668322571546783,0.5346580572374264,0.8
0.04,0.0002616997945642462,0.006450390945464841,2,0.001066666666666667,300,0.04,0,4.637671556256828e-05,0.0002666666666666667,0.001066666666666667,0.1237639742383101,0.1415049768632477,0.006450390945464841,0.1013287175435165,0.1367525953175185,0.04558419843917282,0.2025130095443338,0.1013287175435165,0.6752780753454797,0.5385254800279613,0.7974869904556663
0.08,0.0005157674382408336,0.006256352023899695,2,0.002133333333333333,300,0.08,0,4.737666684473396e-05,0.0005333333333333334,0.002133333333333333,0.1250261251666548,0.134113833514803,0.006256352023899695,0.1025056124398492,0.1399486956699915,0.04664956522333052,0.205024431817977,0.1025056124398492,0.6825952128195122,0.5426465171495206,0.794975568182023
0.12,0.0007618073869485491,0.00605100677379285,2,0.0032,300,0.12,0,4.839817752710918e-05,0.0007999999999999999,0.0032,0.1263637621673169,0.1267171063417414,0.00605100677379285,0.1037305570452594,0.1432562725384681,0.04775209084615605,0.2075326805527933,0.1037305570452594,0.690282957637729,0.5470266850992608,0.7924673194472067
0.16,0.000999385267502542,0.005833923127132648,2,0.004266666666666667,300,0.16,0,4.944171239462669e-05,0.001066666666666667,0.004266666666666667,0.1277787438657225,0.1193203304217941,0.005833923127132648,0.1050047388301375,0.1466788544712344,0.04889295149041147,0.2100361714851215,0.1050047388301375,0.6983504480875801,0.5516715936163457,0.7899638285148785
0.2,0.001228028073387686,0.005604662665994276,2,0.005333333333333334,300,0.2,0,5.050774625009469e-05,0.001333333333333334,0.005333333333333334,0.1292729574461164,0.1119290645614456,0.005604662665994276,0.1063293670049767,0.1502200350182724,0.05007334500609081,0.2125333233564304,0.1063293670049767,0.7068069733532794,0.5565869383350069,0.7874666766435696
0.24,0.001447288465509395,0.005362781441485506,2,0.006399999999999999,300,0.24,0,5.159676413035719e-05,0.0016,0.006399999999999999,0.1308483152250578,0.1045488826245945,0.005362781441485506,0.1077056700246277,0.1538834650411829,0.05129448834706096,0.2150225589120757,0.1077056700246277,0.7156619557490567,0.5617784907078738,0.7849774410879242
0.28,0.001656668643393641,0.005107830940463639,2,0.007466666666666667,300,0.28,0,5.270926152645128e-05,0.001866666666666667,0.007466666666666667,0.1325067503262956,0.09718536481586554,0.005107830940463639,0.1091348924959683,0.1576728435441274,0.05255761451470915,0.2175023058975276,0.1091348924959683,0.7249249284667917,0.5672520849226642,0.7824976941024724
0.32,0.001855627202955848,0.00483935921794506,2,0.008533333333333334,300,0.32,0,5.384574460909342e-05,0.002133333333333333,0.008533333333333334,0.1342502113615949,0.08984408895952284,0.00483935921794506,0.1106182914223964,0.1615919068462697,0.05386396894875656,0.2199709980514407,0.1106182914223964,0.734605508351974,0.5730136015057044,0.7800290019485593
0.36,0.00204363270711374,0.004556912214781808,2,0.009599999999999999,300,0.36,0,5.500673045866211e-05,0.0024,0.009599999999999999,0.1360806560125865,0.08253062181478724,0.004556912214781808,0.1121571317121257,0.165644415899651,0.05521480529988365,0.2224270760949381,0.1121571317121257,0.7447133631741366,0.5790689472744857,0.7775729239050619
0.4,0.0022200783977382,0.004260035281899915,2,0.01066666666666667,300,0.4,0,5.619274730006563e-05,0.002666666666666667,0.01066666666666667,0.1380000433988345,0.07525051046786514,0.004260035281899915,0.11375268087057,0.1698341415392436,0.05661138051308121,0.2248689887164855,0.11375268087057,0.7552581728082135,0.5854240312689699,0.7751310112835145
0.44,0.002384375417880366,0.003948274934162738,2,0.01173333333333333,300,0.44,0,5.740433474321627e-05,0.002933333333333333,0.01173333333333333,0.140010325107155,0.06800927384017934,0.003948274934162738,0.1154062027902243,0.174164847434239,0.05805494914474633,0.2272951935517325,0.1154062027902243,0.766249583692138,0.592084736257899,0.7727048064482674
0.48,0.00253589785820481,0.003621180858712568,2,0.0128,300,0.48,0,5.864204402794559e-05,0.0032,0.0128,0.142113434746925,0.060812394351143,0.003621180858712568,0.117118950544479,0.1786402704917262,0.05954675683057539,0.2297041581577035,0.117118950544479,0.777697155874212,0.5990568853824858,0.7702958418422965
0.52,0.002674015425992917,0.003278308204422354,2,0.01386666666666667,300,0.52,0,5.99064382748038e-05,0.003466666666666667,0.01386666666666667,0.1443112758858945,0.0536653097723755,0.003278308204422354,0.118892158084883,0.183264098446137,0.06108803281537899,0.2320943609807209,0.118892158084883,0.7896103019123327,0.6063462034661957,0.7679056390192791
0.5600000000000001,0.002798083401364652,0.002919220180810415,2,0.01493333333333333,300,0.5600000000000001,0,6.119809274074406e-05,0.003733333333333334,0.01493333333333333,0.1466057082111078,0.04657340530851041,0.002919220180810415,0.1207270307346673,0.1880399443506217,0.06267998145020723,0.2344642923174517,0.1207270307346673,0.8019982168373254,0.6139582724867038,0.7655357076825483
0.6,0.002907443411243474,0.002543490996379651,2,0.016,300,0.6,0,6.251759508074661e-05,0.004,0.016,0.1489985317502661,0.03954200593774521,0.002543490996379651,0.1226247343650671,0.1929713176704374,0.06432377255681246,0.2368124552684678,0.1226247343650671,0.8148697983459995,0.6218984806755621,0.7631875447315322
0.64,0.003001427720148834,0.002150709167766984,2,0.01706666666666667,300,0.64,0,6.38655456149384e-05,0.004266666666666667,0.01706666666666667,0.151491468980631,0.03257636904302178,0.002150709167766984,0.1245863831354205,0.1980615916641904,0.06602053055473012,0.2391373666837203,0.1245863831354205,0.8282335563481548,0.6301719646839644,0.7608626333162798
0.68,0.003079327683649322,0.001740481232243337,2,0.01813333333333333,300,0.68,0,6.524255760115283e-05,0.004533333333333334,0.01813333333333333,0.1540861446458526,0.02568167736225999,0.001740481232243337,0.1266130256734933,0.2033139667272311,0.06777132224241036,0.2414375580993284,0.1266130256734933,0.8420975109580378,0.6387835442308066,0.7585624419006716
0.72,0.003140455298574715,0.00131243589688263,2,0.0192,300,0.72,0,6.664925751387329e-05,0.0048,0.0192,0.1567840630965054,0.01886303228339907,0.00131243589688263,0.1287056295693976,0.2087314293637205,0.06957714312124015,0.2437115766650933,0.1287056295693976,0.8564690779977091,0.6477376486339887,0.7562884233349068
0.76,0.003184110777561611,0.0008662286579950384,2,0.02026666666666667,300,0.76,0,6.808628532878336e-05,0.005066666666666666,0.02026666666666667,0.1595865829683454,0.01212544750718143,0.0008662286579950384,0.1308650640553192,0.2143167064511239,0.07143890215037466,0.2459579860621488,0.1308650640553192,0.8713549410709936,0.6570382346198697,0.7540420139378512
0.8,0.003209574600923557,0.0004015469240445571,2,0.02133333333333334,300,0.8,0,6.955429481364517e-05,0.005333333333333334,0.02133333333333334,0.1624948890141797,0.005473843097658407,0.0004015469240445571,0.1330920807446093,0.2200722144646402,0.07335740482154673,0.2481753674101715,0.1330920807446093,0.8867609092763672,0.666688694811727,0.7518246325898285
0.8333333339459276,0.00321637391645372,-7.50008805242157e-12,2,0.02222222223855807,300,0.8333333339459276,0,7.080178402285586e-05,0.005555555559639517,0.02222222223855807,0.1650000000117224,-1.000011740082129e-10,-7.50008805242157e-12,0.1350000000205003,0.2250000000541674,0.07500000001805578,0.2500000000333337,0.1350000000205003,0.900000000096668,0.6750000000425006,0.7499999999666662
