"time","H_stock","der(H_stock)","X_center","X_continuous_level","X_cycle_time","X_phase","X_step_index","X_step_progress","X_triangle","X_within_step","consumption_rate","hoard_propensity","hoarding_flow","investment_rate","profit_mass","profit_rate","profit_share","saving_rate","utilization_rate","wage_mass","wage_share"
0,0,0.001658387142266085,2,0,300,0,0,4.539786870244589e-05,0,0,0.03064387048249509,0.1488850336233179,0.001658387142266085,0.0250496771464035,0.03341612857733916,0.01113870952577972,0.2,0.0250496771464035,0.1670806428866958,0.1336645143093566,0.8
0.04,6.603324234406399e-05,0.001642801531572087,2,0.001066666666666667,300,0.04,0,4.637671556256828e-05,0.0002666666666666667,0.001066666666666667,0.03152051529141728,0.1415049768632477,0.001642801531572087,0.02580664858612354,0.03482848945644602,0.01160949648548201,0.2025130095443338,0.02580664858612354,0.1719814916326224,0.1371530021761764,0.7974869904556663
0.08,0.0001313047829918022,0.001622296742974289,2,0.002133333333333333,300,0.08,0,4.737666684473396e-05,0.0005333333333333334,0.002133333333333333,0.03241976712143712,0.134113833514803,0.001622296742974289,0.02658010939322078,0.03628924847924562,0.01209641615974854,0.205024431817977,0.02658010939322078,0.1769996295439737,0.1407103810647281,0.794975568182023
0.12,0.0001956345708146694,0.001596635090826203,2,0.0032,300,0.12,0,4.839817752710918e-05,0.0007999999999999999,0.0032,0.03334268567653428,0.1267171063417414,0.001596635090826203,0.02737062666773344,0.03779998936813463,0.01259999645604487,0.2075326805527933,0.02737062666773344,0.1821399370328032,0.1443399476646686,0.7924673194472067
0.16,0.0002586670324141604,0.001565575454777842,2,0.004266666666666667,300,0.16,0,4.944171239462669e-05,0.001066666666666667,0.004266666666666667,0.03429034985190871,0.1193203304217941,0.001565575454777842,0.02817878092758132,0.03936233119478235,0.01312077706492745,0.2100361714851215,0.02817878092758132,0.1874073923384701,0.1480450611436878,0.7899638285148785
0.2,0.0003203573427396657,0.001528873621564652,2,0.005333333333333334,300,0.2,0,5.050774625009469e-05,0.001333333333333334,0.005333333333333334,0.03526385554302672,0.1119290645614456,0.001528873621564652,0.0290051648242663,0.0409779254625687,0.0136593084875229,0.2125333233564304,0.0290051648242663,0.1928070611018791,0.1518291356393104,0.7874666766435696
0.24,0.0003803711817825064,0.00148628268762743,2,0.006399999999999999,300,0.24,0,5.159676413035719e-05,0.0016,0.006399999999999999,0.03626431316401908,0.1045488826245945,0.00148628268762743,0.02985038164683696,0.04264845257976359,0.0142161508599212,0.2150225589120757,0.02985038164683696,0.1983440844325681,0.1556956318528045,0.7849774410879242
0.28,0.0004386965720167991,0.001437553530031339,2,0.007466666666666667,300,0.28,0,5.270926152645128e-05,0.001866666666666667,0.007466666666666667,0.03729284483077607,0.09718536481586554,0.001437553530031339,0.03071504358422036,0.04437561764845044,0.01479187254948348,0.2175023058975276,0.03071504358422036,0.2040236652449893,0.1596480475965389,0.7824976941024724
0.32,0.0004947410616808553,0.001382435353869829,2,0.008533333333333334,300,0.32,0,5.384574460909342e-05,0.002133333333333333,0.008533333333333334,0.0383505811601177,0.08984408895952284,0.001382435353869829,0.03159976971329936,0.04616114548702206,0.01538704849567402,0.2199709980514407,0.03159976971329936,0.2098510526202512,0.1636899071332291,0.7800290019485593
0.36,0.0005485216547401102,0.001320676325093476,2,0.009599999999999999,300,0.36,0,5.500673045866211e-05,0.0024,0.009599999999999999,0.03943865763225318,0.08253062181478724,0.001320676325093476,0.03250518367725184,0.04800677479653427,0.01600225826551142,0.2224270760949381,0.03250518367725184,0.215831523928515,0.1678247491319808,0.7775729239050619
0.4,0.0005996248461527122,0.001252024298488769,2,0.01066666666666667,300,0.4,0,5.619274730006563e-05,0.002666666666666667,0.01066666666666667,0.04055821045941864,0.07525051046786514,0.001252024298488769,0.03343191101569339,0.04991425137335508,0.01663808379111836,0.2248689887164855,0.03343191101569339,0.2219703644253361,0.172056113051981,0.7751310112835145
0.44,0.0006478412610229624,0.001176227651338771,2,0.01173333333333333,300,0.44,0,5.740433474321627e-05,0.002933333333333333,0.01173333333333333,0.04171037189913655,0.06800927384017934,0.001176227651338771,0.03438057610510779,0.05188532026247859,0.01729510675415953,0.2272951935517325,0.03438057610510779,0.228272844012733,0.1763875237502544,0.7727048064482674
0.48,0.0006929137284801838,0.001093036234114654,2,0.0128,300,0.48,0,5.864204402794559e-05,0.0032,0.0128,0.042896264946044,0.060812394351143,0.001093036234114654,0.03535179866495557,0.05392171673770528,0.01797390557923509,0.2297041581577035,0.03535179866495557,0.2347441908329987,0.1808224740952935,0.7702958418422965
0.52,0.0007345937484728192,0.001002202450358631,2,0.01386666666666667,300,0.52,0,5.99064382748038e-05,0.003466666666666667,0.01386666666666667,0.044116997331771,0.0536653097723755,0.001002202450358631,0.03634618978177823,0.05602515598677417,0.01867505199559139,0.2320943609807209,0.03634618978177823,0.2413895613406477,0.1853644053538736,0.7679056390192791
0.5600000000000001,0.0007726189094375388,0.0009034824787043346,2,0.01493333333333333,300,0.5600000000000001,0,6.119809274074406e-05,0.003733333333333334,0.01493333333333333,0.04537365475803357,0.04657340530851041,0.0009034824787043346,0.03736434740064415,0.05819732137168249,0.01939910712389416,0.2344642923174517,0.03736434740064415,0.2482140064760331,0.1900166851043507,0.7655357076825483
0.6,0.0008065280478736542,0.0007966376507145852,2,0.016,300,0.6,0,6.251759508074661e-05,0.004,0.016,0.04666729328407548,0.03954200593774521,0.0007966376507145852,0.03840685123050692,0.06043985112708813,0.02014661704236271,0.2368124552684678,0.03840685123050692,0.2552224335437472,0.1947825824166591,0.7631875447315322
0.64,0.0008360220738797314,0.000681435998866291,2,0.01706666666666667,300,0.64,0,6.38655456149384e-05,0.004266666666666667,0.01706666666666667,0.04799893078603484,0.03257636904302178,0.000681435998866291,0.03947425700759456,0.06275432335319722,0.02091810778439908,0.2391373666837203,0.03947425700759456,0.2624195633808882,0.199665240027691,0.7608626333162798
0.68,0.0008607947631413162,0.0005576539895384632,2,0.01813333333333333,300,0.68,0,6.524255760115283e-05,0.004533333333333334,0.01813333333333333,0.04936953740294452,0.02568167736225999,0.0005576539895384632,0.0405670900589682,0.06514223915427964,0.02171407971809321,0.2414375580993284,0.0405670900589682,0.2698098823857382,0.2046676432314585,0.7585624419006716
